ID,PO No,Supplier ID,PO Date,ITEM NO,Quantity,INVENTORY ID,PO DateReceived,PO DateRequired,PO DateRevised,QtyReceived,ShipBy,SpecialRequest,POLineClosed,Scanned,Tag,ShipLocalle,UnitCost
169140,35278,Ltcp137,06-Oct-25,1,10,528802,10-Oct-25,06-Oct-25,,10,,,-1,,,Patio Door Plant,0
169141,35278,Ltcp137,06-Oct-25,2,1,70136,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169142,35278,Ltcp137,06-Oct-25,3,1,528620,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169143,35278,Ltcp137,06-Oct-25,4,1,528210,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169144,35278,Ltcp137,06-Oct-25,5,1,528219,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169145,35278,Ltcp137,06-Oct-25,6,1,70135,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169146,35278,Ltcp137,06-Oct-25,7,1,70121,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169147,35278,Ltcp137,06-Oct-25,8,1,400426,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169148,35278,Ltcp137,06-Oct-25,9,1,528634,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169149,35278,Ltcp137,06-Oct-25,10,1,528021,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169150,35278,Ltcp137,06-Oct-25,11,1,400050,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169151,35278,Ltcp137,06-Oct-25,12,1,Gentek 502,10-Oct-25,06-Oct-25,,1,,,-1,,,Patio Door Plant,0
169588,35369,Ltcp137,10-Oct-25,1,1,528110,17-Oct-25,14-Oct-25,,1,,,-1,,,Main Plant,0
169589,35369,Ltcp137,10-Oct-25,2,30,528802,17-Oct-25,14-Oct-25,,30,,,-1,,,Main Plant,0
169590,35369,Ltcp137,10-Oct-25,3,1,Gentek 554,17-Oct-25,14-Oct-25,,1,,,-1,,,Main Plant,0
169591,35369,Ltcp137,10-Oct-25,4,2,528925,17-Oct-25,14-Oct-25,,2,,,-1,,,Main Plant,0
169592,35369,Ltcp137,10-Oct-25,5,1,528210,17-Oct-25,14-Oct-25,,1,,,-1,,,Main Plant,0
169593,35369,Ltcp137,10-Oct-25,6,3,528219,17-Oct-25,14-Oct-25,,3,,,-1,,,Main Plant,0
169594,35369,Ltcp137,10-Oct-25,7,1,528304,17-Oct-25,14-Oct-25,,1,,,-1,,,Main Plant,0
169595,35369,Ltcp137,10-Oct-25,8,3,528111,17-Oct-25,14-Oct-25,,3,,,-1,,,Main Plant,0
169596,35369,Ltcp137,10-Oct-25,9,7,528634,17-Oct-25,14-Oct-25,,7,,,-1,,,Main Plant,0
169597,35369,Ltcp137,10-Oct-25,10,1,528616,17-Oct-25,14-Oct-25,,1,,,-1,,,Main Plant,0
169598,35369,Ltcp137,10-Oct-25,11,4,528021,17-Oct-25,14-Oct-25,,4,,,-1,,,Main Plant,0
169599,35369,Ltcp137,10-Oct-25,12,1,585022,17-Oct-25,14-Oct-25,,1,,,-1,,,Main Plant,0
169600,35369,Ltcp137,10-Oct-25,13,4,400050,17-Oct-25,14-Oct-25,,4,,,-1,,,Main Plant,0
169601,35369,Ltcp137,10-Oct-25,14,1,Gentek 567,17-Oct-25,14-Oct-25,,1,,,-1,,,Main Plant,0
169602,35369,Ltcp137,10-Oct-25,15,1,Gentek P31,17-Oct-25,14-Oct-25,,1,,,-1,,,Main Plant,0
169603,35369,Ltcp137,10-Oct-25,16,2,Gentek 509,17-Oct-25,14-Oct-25,,2,,,-1,,,Main Plant,0
169604,35369,Ltcp137,10-Oct-25,17,1,Gentek 542,17-Oct-25,14-Oct-25,,1,,,-1,,,Main Plant,0
169605,35369,Ltcp137,10-Oct-25,18,1,Gentek 5H2,17-Oct-25,14-Oct-25,,1,,,-1,,,Main Plant,0
169665,35378,Ltcp137,14-Oct-25,1,20,528802,20-Oct-25,04-Nov-25,,20,,,-1,,,Main Plant,0
169666,35378,Ltcp137,14-Oct-25,2,1,528125,20-Oct-25,04-Nov-25,,1,,,-1,,,Main Plant,0
169667,35378,Ltcp137,14-Oct-25,3,1,528219,20-Oct-25,04-Nov-25,,1,,,-1,,,Main Plant,0
169668,35378,Ltcp137,14-Oct-25,4,3,528634,20-Oct-25,04-Nov-25,,3,,,-1,,,Main Plant,0
169669,35378,Ltcp137,14-Oct-25,5,2,400050,20-Oct-25,04-Nov-25,,2,,,-1,,,Main Plant,0
169709,35390,Ltcp137,14-Oct-25,1,1,70024,22-Oct-25,15-Oct-25,,1,,,-1,,,Patio Door Plant,0
169710,35390,Ltcp137,14-Oct-25,2,1,528927,22-Oct-25,15-Oct-25,,1,,,-1,,,Patio Door Plant,0
169711,35390,Ltcp137,14-Oct-25,3,1,528219,22-Oct-25,15-Oct-25,,1,,,-1,,,Patio Door Plant,0
169712,35390,Ltcp137,14-Oct-25,4,1,528634,22-Oct-25,15-Oct-25,,1,,,-1,,,Patio Door Plant,0
169713,35390,Ltcp137,14-Oct-25,5,1,528021,22-Oct-25,15-Oct-25,,1,,,-1,,,Patio Door Plant,0
169714,35390,Ltcp137,14-Oct-25,6,1,400050,22-Oct-25,15-Oct-25,,1,,,-1,,,Patio Door Plant,0
